branch,kind,time_sec,iters,m0_final_for_trim,cy_req_final,last_diff_abs,last_diff_rel,cruise_alpha,cruise_delta,cruise_cx,cruise_cy,cruise_K,climb_cy,climb_cy_target,declimb_cy,declimb_cy_target
normal_1_1,avl_parallel6,52.61106639995705,8,1547.4384671126747,0.3763406370233855,1.228047649334485,0.000793600311375138,4.2333376940425165,-1.7808769712863748,0.013181560157349632,0.37965,28.80159825302006,0.46806,0.46321738837062787,0.40753,0.40269038429142606
normal_1_1,mlp_threads6,14.222067399998195,8,1545.5926945048145,0.375891740828929,1.1241502045409106,0.0007273262927145706,4.116101275401282,-2.547454589145116,0.013292217627167702,0.3832077980041504,28.910686492919922,0.4906232953071594,0.4626342279152516,0.4264509677886963,0.40218342338327645
normal_1_2,avl_parallel6,62.943098600022495,8,1591.0345611497974,0.37686668323248884,0.9284925186602777,0.0005835778438334372,4.710569702177238,-2.8346243014176595,0.013483035896784047,0.3774,27.990728711922873,0.46707,0.4637675037644146,0.40632,0.4031686180211826
normal_1_2,mlp_threads6,7.7358319000341,8,1586.8912076119107,0.37588525143747203,1.1232946711052136,0.0007078586520090709,4.717107583369697,-3.132690500309012,0.01344296894967556,0.3828790783882141,28.387405395507812,0.4667118787765503,0.4626172196448854,0.4026567339897156,0.40216863752440796
normal_1_3,avl_parallel6,47.38073119998444,8,1536.7363416243622,0.4012069293074048,1.134927739058412,0.0007385312029900783,4.086050208137539,-3.1453721487767323,0.01366823319276967,0.39924,29.20933484008695,0.49703,0.49379673498354143,0.43227,0.42927403410269405
normal_1_3,mlp_threads6,7.526840599952266,8,1535.6422463115798,0.40092128588964904,0.9765044315188334,0.0006358931801103249,3.96706936233125,-3.1928099248736874,0.013267969712615013,0.4102068543434143,29.257057189941406,0.53508460521698,0.4933945624366305,0.4752432107925415,0.428924412042873
normal_2_1,avl_parallel6,31.77636350004468,9,1243.4595770305184,0.46253584320424523,0.6262232845385824,0.0005036137049457242,4.165156776112747,-2.6563022612291753,0.015252487384466464,0.46071,30.20556505879816,0.57393,0.5691453887345147,0.49952,0.49477714149153784
normal_2_1,mlp_threads6,8.22466710000299,8,1242.5014772997497,0.4621794540822899,1.205511137271742,0.000970229137989923,4.082204550891654,-2.8079704001487507,0.015315627679228783,0.4639478921890259,30.307926177978516,0.5991443395614624,0.5689720895669435,0.5259930491447449,0.49462648672308857
normal_2_2,avl_parallel6,21.373705300036818,4,1199.0333972360731,0.5914084325571317,0.6585021607277213,0.0005491941777815813,5.286330970208631,-1.8502801744072843,0.02056894946676163,0.59166,28.764716494446752,0.73306,0.7277549227744797,0.63853,0.63266171970114
normal_2_2,mlp_threads6,4.933497600024566,5,1193.5145625687676,0.5886863354348523,0.6034497567791277,0.0005056073681081359,5.291483067634449,-1.8121936882810907,0.02046912908554077,0.5936046838760376,29.41921043395996,0.7398412227630615,0.7243737015149763,0.6469661593437195,0.6297223108565086
normal_2_3,avl_parallel6,30.85422269999981,8,1439.0194906419295,0.35628823534512133,1.2289420954191428,0.0008540135164332808,4.022629912562201,-2.1122033719974946,0.011820928557715424,0.35987,30.443462900815504,0.44337,0.43856240248945205,0.38605,0.3812569796126566
normal_2_3,mlp_threads6,7.502601700020023,8,1445.7810499096558,0.35796233638082375,1.1036070935674616,0.0007633293392774956,3.9377687167587134,-2.8948947280216686,0.011842207983136177,0.36619627475738525,29.594642639160156,0.4801868200302124,0.44058316390209895,0.4205402731895447,0.3830136951640361
normal_3_1,avl_parallel6,28.339508599950932,8,1217.4814779357416,0.522177146526792,0.6424402335551349,0.0005276796774308239,5.670590159015586,-2.641460647195736,0.0172524463326659,0.52501,30.43104669776265,0.64732,0.6425488578393681,0.56401,0.5585892347424646
normal_3_1,mlp_threads6,7.580768099986017,8,1213.3560833345741,0.5204077670165698,0.6660167192721929,0.0005489045865594787,5.571811959016665,-3.0078444462504192,0.016984812915325165,0.5352962613105774,30.991403579711914,0.6572025418281555,0.6403851875379849,0.5775764584541321,0.5567082837094977
normal_3_2,avl_parallel6,24.593163099954836,5,1195.985235056961,0.584945413702721,0.745093071317342,0.0006229952088679888,5.676880672460971,-2.451348301635047,0.02043674387687347,0.58502,28.625890872078575,0.72462,0.71985497946725,0.6311,0.6257940344929944
normal_3_2,mlp_threads6,4.646295199985616,5,1188.4405723425707,0.5812553883383975,1.1548247343030198,0.0009717143298353659,5.666865419277375,-2.2113976990631374,0.020308878272771835,0.5900154113769531,29.55286979675293,0.7295064330101013,0.715563189140901,0.6384467482566833,0.6220630374725784
normal_3_3,avl_parallel6,22.18425550009124,6,1189.423849544499,0.565851305284539,1.1180292123742674,0.0009399754450883318,5.40030643730308,-2.841981679070067,0.018751628721792424,0.56373,30.06298857361945,0.70067,0.6965776555391529,0.61001,0.6055582774743449
normal_3_3,mlp_threads6,6.596031799912453,7,1185.6787719879217,0.5640696384509769,0.5569451687806577,0.0004697268618943708,5.409254259671591,-2.595646700364061,0.0190258901566267,0.5763899683952332,30.629627227783203,0.7063627243041992,0.6940581507612512,0.6232531666755676,0.6033679876175542
duck_1_x,avl_parallel6,58.3044324000366,8,1462.6569610519437,0.4238456869510734,1.3148207939534586,0.000898926288914551,2.9059081649084866,-0.38368838311155223,0.015153335211718369,0.42542,28.074347597815592,0.52773,0.5217437203470886,0.45943,0.453569284148077
duck_1_x,mlp_threads6,8.388821200001985,8,1469.4261424760964,0.425807246241608,1.4140592380670114,0.0009623207299716422,2.9601141941286873,-1.7027961997419556,0.015357226133346558,0.4443455934524536,27.509103775024414,0.5599870085716248,0.5241915509538074,0.49165910482406616,0.45569726524819754
duck_2_x,avl_parallel6,29.221293200040236,6,1183.8392382975303,0.5916499794892274,0.7290063653131256,0.0006157984477364543,5.32189788284762,-2.9028690102036228,0.02025169424577785,0.59196,29.230147009720636,0.7331,0.7281006445894108,0.6386,0.6329622672496729
duck_2_x,mlp_threads6,4.673727100016549,5,1193.9892108089746,0.5967226539148938,1.0040265871705287,0.0008409008876137678,5.333328795965052,-4.391899811998009,0.021042440086603165,0.5924078226089478,28.17025375366211,0.7665523886680603,0.7345084171792604,0.6765345335006714,0.6385327584951225
duck_3_x,avl_parallel6,33.807511800085194,7,1173.8827043320175,0.6344872223326409,0.6260887625462601,0.0005333486559055555,5.635960419397192,-3.1219168071112313,0.02179867748049786,0.6338,29.075158369906976,0.78479,0.779920644655109,0.68368,0.6780111282473982
duck_3_x,mlp_threads6,8.095352599979378,7,1183.347479344015,0.6396029624191114,0.7482383148176268,0.0006323065100306888,5.65742579106454,-4.1442875250583775,0.022653309628367424,0.625370979309082,28.081079483032227,0.8187451362609863,0.786131141467679,0.7193947434425354,0.6834101210548388
