branch,last_complete_gen,max_lx_gen,pop,best_idx,best_Lx,spread_Lx,q,K,cx,cy,mtow,m_fue,M_fue_kg,p2w,alpha_bal,delta_bal,A,dmz_dcy,S_ref,V,H,a_S_rel,cy_req,margin
normal_1_1,134,134,44,37,76.07530410859273,0.003098561826304631,76.07530410859273,32.69306564331055,0.01813767850399017,0.5989591479301453,1426.695577704454,0.09598091529504532,136.9355473954669,0.05319803611755899,6.957715658227838,-3.827510196055132,1.107078318263011,-0.9325967740035421,50.0,37.17943656752738,500.0,0.2001312450213836,0.5968722273369739,-0.2575755813425363
normal_1_2,295,295,24,3,80.45055850134094,0.001400584083555466,80.45055850134094,31.66216278076172,0.01864968426525593,0.599683940410614,1460.116633129738,0.0991776971898563,144.8110053024137,0.05448431722621721,7.574709711547975,-4.91420941545532,0.6409341633362298,-1.085241609717281,49.86127807636029,37.72557880026027,500.0,0.2,0.596546126712056,-0.274757749077764
normal_1_3,121,121,48,10,76.87191909049696,0.0028814519122662943,76.87191909049696,32.3411750793457,0.0180292334407568,0.5998014807701111,1426.891224484812,0.09697267176960438,138.3694543628945,0.05190277960669044,6.628593154831298,-4.417846138611073,1.158947659123553,-1.234765968133561,49.98797711276771,35.8884229918652,500.0,0.2000102092726054,0.61149176964567,-0.2926270574226243
normal_2_1,111,111,50,45,67.3733642375376,0.0030933710523588145,67.3733642375376,31.40616035461426,0.01911918446421623,0.5989661812782288,1216.414894002592,0.0996962929552137,121.2720556275677,0.05898941708417776,5.673928189376164,-3.315750142763735,0.5306239742324018,-0.4019876652805074,26.79272872272174,41.0682648669033,500.0,0.2,0.5880868398892547,-0.1010291467749929
normal_2_2,114,115,50,23,70.43013504632937,0.003289215315299068,70.43013504632937,29.43436241149902,0.02064596489071846,0.5989817976951599,1192.919476391151,0.1062722552463586,126.7742430833929,0.06438676897624646,5.358685239932931,-1.840261975522742,0.9163383879120506,-0.929462786550808,17.26677501219917,44.42607555410134,500.0,0.2001759560713379,0.5943717534269547,-0.2971625311058984
normal_2_3,266,266,27,20,68.03453632250282,0.002957964246163512,68.03453632250282,33.82467651367188,0.0165637694299221,0.5987715721130371,1319.225120453152,0.09282886103505934,122.4621653805051,0.05239643612663359,7.136401271671431,-4.345183920481911,1.168409837701903,-1.505434750233148,50.0,36.84845511728263,500.0,0.2000681343871816,0.6045695577443998,-0.3
normal_3_1,118,118,48,7,66.73766833452724,0.002740953290332797,66.73766833452724,31.33129119873047,0.01888595335185528,0.5991982221603394,1200.831274451911,0.1000372038586173,120.127803002149,0.05634935023409856,6.476730719291455,-3.416180114659414,1.180295955344893,-0.6789367628267216,25.59874136112426,39.12772828452199,500.0,0.2002455987344052,0.5892523676007514,-0.2832425704660064
normal_3_2,199,199,33,26,69.79311807370507,0.002043314038117292,69.79311807370507,29.58199501037598,0.02062728255987167,0.5997651219367981,1187.415426560738,0.1057992087036804,125.6276125326691,0.06598383240662795,5.793516903779165,-2.267122718819317,0.8830645490248759,-1.004607315584906,16.62908841600253,45.461389133079,500.0,0.2000213646045492,0.5919063919847395,-0.2997057029141184
normal_3_3,101,101,53,24,67.13505954216346,0.0028850939152129324,67.13505954216346,30.64406585693359,0.01976138353347778,0.5978686809539795,1182.88041629255,0.1021600370683686,120.8431071758942,0.05834970453787777,5.718556563939046,-2.733519026888636,1.166377547897846,-0.7991422187498659,21.74812574580851,40.30676338614819,500.0,0.2000672571712765,0.58765416218203,-0.3
duck_1_x,139,139,43,4,84.22517100281283,0.0027812365560517583,84.22517100281283,29.03319931030273,0.02053035050630569,0.5993908047676086,1407.602601079269,0.1077046232287585,151.6053078050631,0.05848047493186211,5.048752907616728,-3.492300993177743,0.561218150367754,-2.168337799749484,36.74156362083686,39.73381038332993,500.0,0.7998028137975288,0.5988204425614243,0.2986838199404087
duck_2_x,118,118,48,14,73.51400431291181,0.0030993527382842294,73.51400431291181,28.19520378112793,0.02130346372723579,0.5994812250137329,1192.950701017414,0.1109226120160598,132.3252077632413,0.06500692269623987,5.446953081156877,-4.492710370679455,0.5880308936428322,-2.302635656034921,17.55035171013618,43.77666841835624,500.0,0.7999129433655918,0.6063890076791699,0.2983206864659828
duck_3_x,117,117,49,20,73.46181233761142,0.0029413673656462874,73.46181233761142,28.05329132080078,0.02163123153150082,0.5988361835479736,1186.400286564422,0.1114558582842354,132.2312622077006,0.0644965839195699,5.250228612414472,-3.800980166680304,0.61227892721421,-2.392582815672028,16.48359131403077,43.43568430455163,500.0,0.8,0.6068878488341484,0.3
