branch,avl_q_g_per_ton_km,avl_K_new,avl_cx_new,avl_cy_new,avl_feasible_new,mlp_q_g_per_ton_km,mlp_K,mlp_cx,mlp_cy,S_ref,V,avl_q,avl_K_orig,avl_cx_orig,avl_cy_orig,avl_feasible_orig,dq_vs_orig_avl,dK_vs_orig_avl,dcx_vs_orig_avl,dcy_vs_orig_avl,dq_mlp_vs_orig_avl,dK_mlp_vs_orig_avl
normal_1_1,79.90400018395533,31.35802287998605,0.0190815601573496,0.59836,True,76.07530410859273,32.69306564331055,0.0181376785039901,0.5989591479301453,50.0,37.17943656752738,76.3093487152442,30.573737647097133,0.0195913239955753,0.59898,True,3.5946514687111346,0.7842852328889158,-0.0005097638382257005,-0.0006199999999999539,-0.23404460665146587,2.119327996213414
normal_1_2,82.75111731082572,30.926513009283436,0.019243035896784,0.59512,True,80.45055850134094,31.66216278076172,0.0186496842652559,0.599683940410614,49.86127807636029,37.72557880026027,78.53976554721532,30.00703395205832,0.0199653188301506,0.5991,True,4.211351763610395,0.9194790572251179,-0.0007222829333666005,-0.0039799999999999836,1.9107929541256112,1.6551288287034005
normal_1_3,79.76644072857731,31.345657291375424,0.0193682331927696,0.60711,False,76.87191909049696,32.3411750793457,0.0180292334407568,0.5998014807701111,49.98797711276771,35.8884229918652,74.2981465602712,33.55024570402482,0.0178490496100349,0.59884,True,5.468294168306102,-2.204588412649393,0.0015191835827347011,0.00827,2.573772530225753,-1.2090706246791143
normal_2_1,69.19721972353258,30.693630086157704,0.0190524873844664,0.58479,True,67.3733642375376,31.40616035461426,0.0191191844642162,0.5989661812782288,26.79272872272174,41.0682648669033,65.6930272363274,34.99183752850071,0.0166513118816759,0.58266,True,3.504192487205188,-4.298207442343006,0.0024011755027904987,0.0021300000000000763,1.680337001210205,-3.585677173886449
normal_2_2,72.40268551492146,28.767193654071065,0.0206589494667616,0.5943,False,70.43013504632937,29.43436241149902,0.0206459648907184,0.5989817976951599,17.26677501219917,44.42607555410134,68.54585645980208,34.16370370282089,0.0172118340890378,0.58802,True,3.856829055119377,-5.396510048749825,0.0034471153777238007,0.006280000000000063,1.8842785865272873,-4.7293412913218695
normal_2_3,66.86594870129002,34.334548040232825,0.0176609285577154,0.60638,False,68.03453632250282,33.82467651367188,0.0165637694299221,0.5987715721130371,50.0,36.84845511728263,65.8911382133566,34.992752581736575,0.0168532040633978,0.58974,True,0.974810487933425,-0.6582045415037499,0.0008077244943176,0.016639999999999988,2.1433981091462186,-1.1680760680646927
normal_3_1,69.09914408506191,30.421285610667624,0.0194324463326659,0.59116,True,66.73766833452724,31.33129119873047,0.0188859533518552,0.5991982221603394,25.59874136112426,39.12772828452199,65.76125538446169,34.9991963255036,0.0165486657068736,0.57919,True,3.3378887006002174,-4.577910714835973,0.0028837806257923024,0.011970000000000036,0.9764129500655514,-3.667905126773128
normal_3_2,72.56052242835854,28.635684477951248,0.0206567438768734,0.59152,True,69.79311807370507,29.58199501037598,0.0206272825598716,0.5997651219367981,16.62908841600253,45.461389133079,68.53622027831993,34.17055791962574,0.0173383180161574,0.59246,True,4.024302150038608,-5.534873441674495,0.0033184258607159983,-0.0009399999999999409,1.256897795385143,-4.588562909249763
normal_3_3,68.69274316778468,30.04784483146494,0.0194616287217924,0.58478,True,67.13505954216346,30.64406585693359,0.0197613835334777,0.5978686809539795,21.74812574580851,40.30676338614819,65.75785210648999,34.950881095507015,0.0165480806741192,0.57837,True,2.9348910612946923,-4.9030362640420755,0.002913548047673197,0.006409999999999916,1.3772074356734691,-4.306815238573424
duck_1_x,81.20887189240193,29.90860381988311,0.0200233352117183,0.59887,False,84.22517100281283,29.03319931030273,0.0205303505063056,0.5993908047676086,36.74156362083686,39.73381038332993,78.1708714516955,31.21384066472486,0.0191597697452163,0.59805,True,3.0380004407064263,-1.305236844841751,0.0008635654665020004,0.0008200000000000429,6.0542995511173245,-2.1806413544221286
duck_2_x,70.2837672672596,29.238806670296643,0.0207316942457778,0.60617,False,73.51400431291181,28.19520378112793,0.0213034637272357,0.5994812250137329,17.55035171013618,43.77666841835624,65.33028098321641,34.79707589237951,0.0172014453700428,0.59856,True,4.953486284043194,-5.558269222082867,0.003530248875734998,0.007610000000000006,8.183723329695397,-6.601872111251581
duck_3_x,70.32251429510468,29.063622471624598,0.0208786774804978,0.60681,False,73.46181233761142,28.05329132080078,0.0216312315315008,0.5988361835479736,16.48359131403077,43.43568430455163,65.14539756023385,35.54715951701698,0.0165414060642036,0.588,True,5.177116734870836,-6.4835370453923815,0.004337271416294201,0.018809999999999993,8.316414777377574,-7.493868196216198
